Jurisdiction,Agenda Page
Monterey Park,https://www.montereypark.ca.gov/AgendaCenter/City-Council-17
Monterey Park,https://www.montereypark.ca.gov/AgendaCenter
West Covina,https://www.westcovina.org/departments/city-clerk/agendas-and-meetings/current-meetings-and-agendas
West Covina,https://www.westcovina.org/departments/community-development/planning-division/planning-commission
Carson,http://ci.carson.ca.us/CommunityDevelopment/planning_agenda.aspx
Carson,http://ci.carson.ca.us/Government/videoarchive.aspx
Gardena,https://www.cityofgardena.org/agendas-planning-environmental-commission/
Gardena,https://www.cityofgardena.org/agendas-city-council/
Downey,https://lf.downeyca.org/WebLink/Browse.aspx?id=993194&dbid=0&repo=Downey
Downey,https://lf.downeyca.org/WebLink/Browse.aspx?id=777192&dbid=0&repo=Downey
Palmdale,https://www.cityofpalmdale.org/310/City-Council-Meetings
Palmdale,https://www.cityofpalmdale.org/284/Planning-Commission
Alhambra,https://www.cityofalhambra.org/AgendaCenter/Planning-Commission-10
Inglewood,https://www.cityofinglewood.org/AgendaCenter/Planning-Commission-4
Inglewood,https://www.cityofinglewood.org/AgendaCenter/City-Council-3
South Gate,"https://www.cityofsouthgate.org/AgendaCenter/Search/?term=&CIDs=3,&startDate=&endDate=&dateRange=&dateSelector="
South Gate,"https://www.cityofsouthgate.org/AgendaCenter/Search/?term=&CIDs=2,&startDate=&endDate=&dateRange=&dateSelector="
El Monte,https://www.ci.el-monte.ca.us/AgendaCenter/Planning-Commission-2
El Monte,http://www.elmonteca.gov/378/Council-Meeting-Videos
Burbank,https://www.burbankca.gov/web/city-clerks-office/meeting-agendas-and-minutes
Santa Monica,https://www.smgov.net/departments/clerk/agendas.aspx
Santa Monica,https://www.smgov.net/Departments/PCD/Boards-Commissions/Planning-Commission/
Lancaster,https://www.cityoflancasterca.org/government/city-officials/city-council/meetings-agendas-and-minutes
Lancaster,https://www.cityoflancasterca.org/our-city/departments-services/city-clerk/meetings-agendas-and-minutes/public-meetings-web-streaming
Pasadena,https://www.cityofpasadena.net/commissions/planning-commission/
Pasadena,http://ww2.cityofpasadena.net/councilagendas/council_agenda.asp
Santa Clarita,http://santaclaritacityca.iqm2.com/Citizens/calendar.aspx
Santa Clarita,http://santaclaritacityca.iqm2.com/Citizens/default.aspx
Pomona,https://www.pomonaca.gov/government/current-council-agenda
Pomona,https://pomona.legistar.com/Calendar.aspx
Glendale,https://www.glendaleca.gov/government/public-meeting-portal
Long Beach,http://longbeach.legistar.com/Calendar.aspx
Los Angeles,https://planning.lacity.org/about/commissions-boards-hearings
Los Angeles,https://www.lacity.org/government/meeting-calendars/city-council-meetingsagendas
Compton,https://www.comptoncity.org/departments/city-clerk/agendas-meetings-and-minutes/public-meetings-and-agendas/-folder-27
La Verne,https://www.cityoflaverne.org/AgendaCenter/
Maywood,"Agendas & Minutes | Maywood, CA (cityofmaywood.com)"
Compton,https://www.comptoncity.org/departments/city-clerk/agendas-meetings-and-minutes
Downey,https://lf.downeyca.org/WebLink/Browse.aspx?id=965266&dbid=0&repo=Downey
Duarte,https://www.accessduarte.com/government/agendas-minutes
South Gate,Planning Commission Agenda and Minutes Archive City of South Gate
South Gate,Default View - Granicus Content
Ross,https://www.townofross.org/meetings?field_microsite_tid_1=27
Belvedere,https://www.cityofbelvedere.org/AgendaCenter/Planning-Commission-7
Fairfax,https://www.townoffairfax.org/agendas-town-council/
Fairfax,https://www.townoffairfax.org/planning-commission-meetings/
Tiburon,https://www.townoftiburon.org/282/Agendas-Minutes-Staff-Reports
Sausalito,https://www.sausalito.gov/city-government/city-council/meetings-and-agendas
Sausalito,https://www.sausalito.gov/city-government/special-committees/general-plan-advisory-committee/meetings-and-agendas
Sausalito,https://www.sausalito.gov/city-government/boards-and-commissions/planning-commission/meetings-and-agendas
Corte Madera,https://www.townofcortemadera.org/AgendaCenter/Planning-Commission-2
San Anselmo,https://www.townofsananselmo.org/779/Town-Council-Meeting-Packets
Mill Valley,https://www.cityofmillvalley.org/278/Watch-Meetings-Online
Larkspur,https://www.ci.larkspur.ca.us/Archive.aspx?AMID=49
Larkspur,https://www.ci.larkspur.ca.us/Archive.aspx?AMID=43
Novato,https://www.novato.org/government/city-council/agendas-minutes-videos
Novato,https://www.novato.org/government/city-council/agendas-minutes/planning-commission
San Rafael,https://www.cityofsanrafael.org/city-council-meetings/
San Rafael,https://www.cityofsanrafael.org/planning-commission-meetings/
Marin County,https://www.marincounty.gov/departments/board/board-supervisors-meetings#meetingagendasandvideos
Marin County,https://www.marincounty.org/depts/cd/divisions/planning/boards-commissions-and-public-hearings/planning-commission-hearings-page
Belvedere,https://www.cityofbelvedere.org/AgendaCenter/City-Council-6
Tiburon,http://www.townoftiburon.org/283/Agendas-Minutes-Staff-Reports
Sausalito,https://www.sausalito.gov/city-government/city-council/meetings-and-agendas
Corte Madera,https://www.townofcortemadera.org/AgendaCenter/
San Anselmo,https://sananselmo-ca.legistar.com/Calendar.aspx
Larkspur,https://www.ci.larkspur.ca.us/288/Agendas-and-Minutes
